Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
Stainless-steel-water-bottle-new-938,Stainless Steel Water Bottle-938,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-938,EcoHydrate-938,Kitchen-938,"water bottle,stainless steel,eco-friendly,hydration-938",True-938,SSWB-001-938,24.99,29.99,True-938,True-938,shopify-938,50-938,deny-938,manual-938,0.35-938,kg-938,https://images.unsplash.com/photo-1602143407151-7111542de6e8-938,1-938,Stainless steel water bottle-938
Modern-desk-lamp-new-939,Modern Desk Lamp-939,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-939,LightCraft-939,Lighting-939,"desk,lamp,office,modern-939",True-939,MDL-001-939,39.99,49.99,True-939,True-939,shopify-939,25-939,deny-939,manual-939,1.2-939,kg-939,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-939,1-939,Modern desk lamp with adjustable arm-939
Modern-desk-lamp-new-940,Modern Desk Lamp-940,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-940,LightCraft-940,Lighting-940,"desk,lamp,office,modern-940",True-940,MDL-001-940,39.99,49.99,True-940,True-940,shopify-940,25-940,deny-940,manual-940,1.2-940,kg-940,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-940,1-940,Modern desk lamp with adjustable arm-940
modern-desk-lamp-new-941,Modern Desk Lamp-941,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-941,LightCraft-941,Lighting-941,"desk,lamp,office,modern-941",True-941,MDL-001-941,39.99,49.99,True-941,True-941,shopify-941,25-941,deny-941,manual-941,1.2-941,kg-941,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-941,1-941,Modern desk lamp with adjustable arm-941
Ergonomic-office-chair-new-942,Ergonomic Office Chair-942,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-942,ComfortSeating-942,Furniture-942,"chair,office,ergonomic,furniture-942",True-942,EOC-001-942,189.99,229.99,True-942,True-942,shopify-942,12-942,deny-942,manual-942,15.5-942,kg-942,https://images.unsplash.com/photo-1505797149-35ebcb016d74-942,1-942,Ergonomic office chair with mesh back-942
Wireless-bluetooth-speaker-new-943,Wireless Bluetooth Speaker-943,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-943,SoundWave-943,Electronics-943,"speaker,bluetooth,wireless,audio-943",True-943,WBS-001-943,79.99,99.99,True-943,True-943,shopify-943,30-943,deny-943,manual-943,0.5-943,kg-943,https://images.unsplash.com/photo-1589003077984-894e133dabab-943,1-943,Portable Bluetooth speaker-943
Premium-yoga-mat-new-944,Premium Yoga Mat-944,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-944,ZenFitness-944,Fitness-944,"yoga,mat,fitness,exercise-944",True-944,PYM-001-944,45.99,59.99,True-944,True-944,shopify-944,40-944,deny-944,manual-944,1.8-944,kg-944,https://images.unsplash.com/photo-1518611012118-696072aa579a-944,1-944,Premium yoga mat-944
Stainless-steel-water-bottle-new-945,Stainless Steel Water Bottle-945,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-945,EcoHydrate-945,Kitchen-945,"water bottle,stainless steel,eco-friendly,hydration-945",True-945,SSWB-001-945,24.99,29.99,True-945,True-945,shopify-945,50-945,deny-945,manual-945,0.35-945,kg-945,https://images.unsplash.com/photo-1602143407151-7111542de6e8-945,1-945,Stainless steel water bottle-945
Handcrafted-ceramic-mug-new-946,Handcrafted Ceramic Mug-946,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-946",ArtisanWares-946,Kitchen-946,"mug,ceramic,handcrafted,coffee-946",True-946,HCM-001-946,18.99,24.99,True-946,True-946,shopify-946,20-946,deny-946,manual-946,0.4-946,kg-946,https://images.unsplash.com/photo-1577937927533-addefece22c3-946,1-946,Handcrafted ceramic mug-946
Organic-cotton-t-shirt-new-947,Organic Cotton T-Shirt-947,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-947,EcoClothing-947,Apparel-947,"t-shirt,organic,cotton,clothing-947",True-947,OCTS-001-947,29.99,34.99,True-947,True-947,shopify-947,30-947,deny-947,manual-947,0.2-947,kg-947,https://images.unsplash.com/photo-1581655353564-df123a1eb820-947,1-947,Organic cotton t-shirt-947
Smart-fitness-tracker-new-948,Smart Fitness Tracker-948,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-948",TechFit-948,Electronics-948,"fitness,tracker,smartwatch,health-948",True-948,SFT-001-948,89.99,109.99,True-948,True-948,shopify-948,15-948,deny-948,manual-948,0.05-948,kg-948,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-948,1-948,Smart fitness tracker-948
Premium-coffee-beans-new-949,Premium Coffee Beans-949,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-949,BeanMaster-949,Food-949,"coffee,beans,organic,gourmet-949",True-949,PCB-001-949,14.99,17.99,True-949,True-949,shopify-949,50-949,deny-949,manual-949,0.25-949,kg-949,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-949,1-949,Premium coffee beans package-949
Minimalist-wall-clock-new-950,Minimalist Wall Clock-950,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-950,ModernDecor-950,Home Decor-950,"clock,wall,minimalist,home decor-950",True-950,MWC-001-950,49.99,59.99,True-950,True-950,shopify-950,18-950,deny-950,manual-950,0.8-950,kg-950,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-950,1-950,Minimalist wall clock-950
Stainless-steel-water-bottle-new-951,Stainless Steel Water Bottle-951,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-951,EcoHydrate-951,Kitchen-951,"water bottle,stainless steel,eco-friendly,hydration-951",True-951,SSWB-001-951,24.99,29.99,True-951,True-951,shopify-951,50-951,deny-951,manual-951,0.35-951,kg-951,https://images.unsplash.com/photo-1602143407151-7111542de6e8-951,1-951,Stainless steel water bottle-951
Modern-desk-lamp-new-952,Modern Desk Lamp-952,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-952,LightCraft-952,Lighting-952,"desk,lamp,office,modern-952",True-952,MDL-001-952,39.99,49.99,True-952,True-952,shopify-952,25-952,deny-952,manual-952,1.2-952,kg-952,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-952,1-952,Modern desk lamp with adjustable arm-952
Modern-desk-lamp-new-953,Modern Desk Lamp-953,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-953,LightCraft-953,Lighting-953,"desk,lamp,office,modern-953",True-953,MDL-001-953,39.99,49.99,True-953,True-953,shopify-953,25-953,deny-953,manual-953,1.2-953,kg-953,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-953,1-953,Modern desk lamp with adjustable arm-953
modern-desk-lamp-new-954,Modern Desk Lamp-954,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-954,LightCraft-954,Lighting-954,"desk,lamp,office,modern-954",True-954,MDL-001-954,39.99,49.99,True-954,True-954,shopify-954,25-954,deny-954,manual-954,1.2-954,kg-954,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-954,1-954,Modern desk lamp with adjustable arm-954
Ergonomic-office-chair-new-955,Ergonomic Office Chair-955,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-955,ComfortSeating-955,Furniture-955,"chair,office,ergonomic,furniture-955",True-955,EOC-001-955,189.99,229.99,True-955,True-955,shopify-955,12-955,deny-955,manual-955,15.5-955,kg-955,https://images.unsplash.com/photo-1505797149-35ebcb016d74-955,1-955,Ergonomic office chair with mesh back-955
Wireless-bluetooth-speaker-new-956,Wireless Bluetooth Speaker-956,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-956,SoundWave-956,Electronics-956,"speaker,bluetooth,wireless,audio-956",True-956,WBS-001-956,79.99,99.99,True-956,True-956,shopify-956,30-956,deny-956,manual-956,0.5-956,kg-956,https://images.unsplash.com/photo-1589003077984-894e133dabab-956,1-956,Portable Bluetooth speaker-956
Premium-yoga-mat-new-957,Premium Yoga Mat-957,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-957,ZenFitness-957,Fitness-957,"yoga,mat,fitness,exercise-957",True-957,PYM-001-957,45.99,59.99,True-957,True-957,shopify-957,40-957,deny-957,manual-957,1.8-957,kg-957,https://images.unsplash.com/photo-1518611012118-696072aa579a-957,1-957,Premium yoga mat-957
Stainless-steel-water-bottle-new-958,Stainless Steel Water Bottle-958,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-958,EcoHydrate-958,Kitchen-958,"water bottle,stainless steel,eco-friendly,hydration-958",True-958,SSWB-001-958,24.99,29.99,True-958,True-958,shopify-958,50-958,deny-958,manual-958,0.35-958,kg-958,https://images.unsplash.com/photo-1602143407151-7111542de6e8-958,1-958,Stainless steel water bottle-958
Handcrafted-ceramic-mug-new-959,Handcrafted Ceramic Mug-959,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-959",ArtisanWares-959,Kitchen-959,"mug,ceramic,handcrafted,coffee-959",True-959,HCM-001-959,18.99,24.99,True-959,True-959,shopify-959,20-959,deny-959,manual-959,0.4-959,kg-959,https://images.unsplash.com/photo-1577937927533-addefece22c3-959,1-959,Handcrafted ceramic mug-959
Organic-cotton-t-shirt-new-960,Organic Cotton T-Shirt-960,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-960,EcoClothing-960,Apparel-960,"t-shirt,organic,cotton,clothing-960",True-960,OCTS-001-960,29.99,34.99,True-960,True-960,shopify-960,30-960,deny-960,manual-960,0.2-960,kg-960,https://images.unsplash.com/photo-1581655353564-df123a1eb820-960,1-960,Organic cotton t-shirt-960
Smart-fitness-tracker-new-961,Smart Fitness Tracker-961,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-961",TechFit-961,Electronics-961,"fitness,tracker,smartwatch,health-961",True-961,SFT-001-961,89.99,109.99,True-961,True-961,shopify-961,15-961,deny-961,manual-961,0.05-961,kg-961,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-961,1-961,Smart fitness tracker-961
Premium-coffee-beans-new-962,Premium Coffee Beans-962,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-962,BeanMaster-962,Food-962,"coffee,beans,organic,gourmet-962",True-962,PCB-001-962,14.99,17.99,True-962,True-962,shopify-962,50-962,deny-962,manual-962,0.25-962,kg-962,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-962,1-962,Premium coffee beans package-962
Minimalist-wall-clock-new-963,Minimalist Wall Clock-963,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-963,ModernDecor-963,Home Decor-963,"clock,wall,minimalist,home decor-963",True-963,MWC-001-963,49.99,59.99,True-963,True-963,shopify-963,18-963,deny-963,manual-963,0.8-963,kg-963,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-963,1-963,Minimalist wall clock-963
Stainless-steel-water-bottle-new-964,Stainless Steel Water Bottle-964,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-964,EcoHydrate-964,Kitchen-964,"water bottle,stainless steel,eco-friendly,hydration-964",True-964,SSWB-001-964,24.99,29.99,True-964,True-964,shopify-964,50-964,deny-964,manual-964,0.35-964,kg-964,https://images.unsplash.com/photo-1602143407151-7111542de6e8-964,1-964,Stainless steel water bottle-964
Modern-desk-lamp-new-965,Modern Desk Lamp-965,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-965,LightCraft-965,Lighting-965,"desk,lamp,office,modern-965",True-965,MDL-001-965,39.99,49.99,True-965,True-965,shopify-965,25-965,deny-965,manual-965,1.2-965,kg-965,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-965,1-965,Modern desk lamp with adjustable arm-965
Modern-desk-lamp-new-966,Modern Desk Lamp-966,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-966,LightCraft-966,Lighting-966,"desk,lamp,office,modern-966",True-966,MDL-001-966,39.99,49.99,True-966,True-966,shopify-966,25-966,deny-966,manual-966,1.2-966,kg-966,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-966,1-966,Modern desk lamp with adjustable arm-966
modern-desk-lamp-new-967,Modern Desk Lamp-967,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-967,LightCraft-967,Lighting-967,"desk,lamp,office,modern-967",True-967,MDL-001-967,39.99,49.99,True-967,True-967,shopify-967,25-967,deny-967,manual-967,1.2-967,kg-967,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-967,1-967,Modern desk lamp with adjustable arm-967
Ergonomic-office-chair-new-968,Ergonomic Office Chair-968,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-968,ComfortSeating-968,Furniture-968,"chair,office,ergonomic,furniture-968",True-968,EOC-001-968,189.99,229.99,True-968,True-968,shopify-968,12-968,deny-968,manual-968,15.5-968,kg-968,https://images.unsplash.com/photo-1505797149-35ebcb016d74-968,1-968,Ergonomic office chair with mesh back-968
Wireless-bluetooth-speaker-new-969,Wireless Bluetooth Speaker-969,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-969,SoundWave-969,Electronics-969,"speaker,bluetooth,wireless,audio-969",True-969,WBS-001-969,79.99,99.99,True-969,True-969,shopify-969,30-969,deny-969,manual-969,0.5-969,kg-969,https://images.unsplash.com/photo-1589003077984-894e133dabab-969,1-969,Portable Bluetooth speaker-969
Premium-yoga-mat-new-970,Premium Yoga Mat-970,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-970,ZenFitness-970,Fitness-970,"yoga,mat,fitness,exercise-970",True-970,PYM-001-970,45.99,59.99,True-970,True-970,shopify-970,40-970,deny-970,manual-970,1.8-970,kg-970,https://images.unsplash.com/photo-1518611012118-696072aa579a-970,1-970,Premium yoga mat-970
Stainless-steel-water-bottle-new-971,Stainless Steel Water Bottle-971,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-971,EcoHydrate-971,Kitchen-971,"water bottle,stainless steel,eco-friendly,hydration-971",True-971,SSWB-001-971,24.99,29.99,True-971,True-971,shopify-971,50-971,deny-971,manual-971,0.35-971,kg-971,https://images.unsplash.com/photo-1602143407151-7111542de6e8-971,1-971,Stainless steel water bottle-971
Handcrafted-ceramic-mug-new-972,Handcrafted Ceramic Mug-972,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-972",ArtisanWares-972,Kitchen-972,"mug,ceramic,handcrafted,coffee-972",True-972,HCM-001-972,18.99,24.99,True-972,True-972,shopify-972,20-972,deny-972,manual-972,0.4-972,kg-972,https://images.unsplash.com/photo-1577937927533-addefece22c3-972,1-972,Handcrafted ceramic mug-972
Organic-cotton-t-shirt-new-973,Organic Cotton T-Shirt-973,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-973,EcoClothing-973,Apparel-973,"t-shirt,organic,cotton,clothing-973",True-973,OCTS-001-973,29.99,34.99,True-973,True-973,shopify-973,30-973,deny-973,manual-973,0.2-973,kg-973,https://images.unsplash.com/photo-1581655353564-df123a1eb820-973,1-973,Organic cotton t-shirt-973
Smart-fitness-tracker-new-974,Smart Fitness Tracker-974,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-974",TechFit-974,Electronics-974,"fitness,tracker,smartwatch,health-974",True-974,SFT-001-974,89.99,109.99,True-974,True-974,shopify-974,15-974,deny-974,manual-974,0.05-974,kg-974,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-974,1-974,Smart fitness tracker-974
Premium-coffee-beans-new-975,Premium Coffee Beans-975,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-975,BeanMaster-975,Food-975,"coffee,beans,organic,gourmet-975",True-975,PCB-001-975,14.99,17.99,True-975,True-975,shopify-975,50-975,deny-975,manual-975,0.25-975,kg-975,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-975,1-975,Premium coffee beans package-975
Minimalist-wall-clock-new-976,Minimalist Wall Clock-976,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-976,ModernDecor-976,Home Decor-976,"clock,wall,minimalist,home decor-976",True-976,MWC-001-976,49.99,59.99,True-976,True-976,shopify-976,18-976,deny-976,manual-976,0.8-976,kg-976,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-976,1-976,Minimalist wall clock-976
Stainless-steel-water-bottle-new-977,Stainless Steel Water Bottle-977,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-977,EcoHydrate-977,Kitchen-977,"water bottle,stainless steel,eco-friendly,hydration-977",True-977,SSWB-001-977,24.99,29.99,True-977,True-977,shopify-977,50-977,deny-977,manual-977,0.35-977,kg-977,https://images.unsplash.com/photo-1602143407151-7111542de6e8-977,1-977,Stainless steel water bottle-977
Modern-desk-lamp-new-978,Modern Desk Lamp-978,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-978,LightCraft-978,Lighting-978,"desk,lamp,office,modern-978",True-978,MDL-001-978,39.99,49.99,True-978,True-978,shopify-978,25-978,deny-978,manual-978,1.2-978,kg-978,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-978,1-978,Modern desk lamp with adjustable arm-978
Modern-desk-lamp-new-979,Modern Desk Lamp-979,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-979,LightCraft-979,Lighting-979,"desk,lamp,office,modern-979",True-979,MDL-001-979,39.99,49.99,True-979,True-979,shopify-979,25-979,deny-979,manual-979,1.2-979,kg-979,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-979,1-979,Modern desk lamp with adjustable arm-979
modern-desk-lamp-new-980,Modern Desk Lamp-980,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-980,LightCraft-980,Lighting-980,"desk,lamp,office,modern-980",True-980,MDL-001-980,39.99,49.99,True-980,True-980,shopify-980,25-980,deny-980,manual-980,1.2-980,kg-980,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-980,1-980,Modern desk lamp with adjustable arm-980
Ergonomic-office-chair-new-981,Ergonomic Office Chair-981,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-981,ComfortSeating-981,Furniture-981,"chair,office,ergonomic,furniture-981",True-981,EOC-001-981,189.99,229.99,True-981,True-981,shopify-981,12-981,deny-981,manual-981,15.5-981,kg-981,https://images.unsplash.com/photo-1505797149-35ebcb016d74-981,1-981,Ergonomic office chair with mesh back-981
Wireless-bluetooth-speaker-new-982,Wireless Bluetooth Speaker-982,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-982,SoundWave-982,Electronics-982,"speaker,bluetooth,wireless,audio-982",True-982,WBS-001-982,79.99,99.99,True-982,True-982,shopify-982,30-982,deny-982,manual-982,0.5-982,kg-982,https://images.unsplash.com/photo-1589003077984-894e133dabab-982,1-982,Portable Bluetooth speaker-982
Premium-yoga-mat-new-983,Premium Yoga Mat-983,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-983,ZenFitness-983,Fitness-983,"yoga,mat,fitness,exercise-983",True-983,PYM-001-983,45.99,59.99,True-983,True-983,shopify-983,40-983,deny-983,manual-983,1.8-983,kg-983,https://images.unsplash.com/photo-1518611012118-696072aa579a-983,1-983,Premium yoga mat-983
Stainless-steel-water-bottle-new-984,Stainless Steel Water Bottle-984,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-984,EcoHydrate-984,Kitchen-984,"water bottle,stainless steel,eco-friendly,hydration-984",True-984,SSWB-001-984,24.99,29.99,True-984,True-984,shopify-984,50-984,deny-984,manual-984,0.35-984,kg-984,https://images.unsplash.com/photo-1602143407151-7111542de6e8-984,1-984,Stainless steel water bottle-984
Handcrafted-ceramic-mug-new-985,Handcrafted Ceramic Mug-985,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-985",ArtisanWares-985,Kitchen-985,"mug,ceramic,handcrafted,coffee-985",True-985,HCM-001-985,18.99,24.99,True-985,True-985,shopify-985,20-985,deny-985,manual-985,0.4-985,kg-985,https://images.unsplash.com/photo-1577937927533-addefece22c3-985,1-985,Handcrafted ceramic mug-985
Organic-cotton-t-shirt-new-986,Organic Cotton T-Shirt-986,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-986,EcoClothing-986,Apparel-986,"t-shirt,organic,cotton,clothing-986",True-986,OCTS-001-986,29.99,34.99,True-986,True-986,shopify-986,30-986,deny-986,manual-986,0.2-986,kg-986,https://images.unsplash.com/photo-1581655353564-df123a1eb820-986,1-986,Organic cotton t-shirt-986
Smart-fitness-tracker-new-987,Smart Fitness Tracker-987,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-987",TechFit-987,Electronics-987,"fitness,tracker,smartwatch,health-987",True-987,SFT-001-987,89.99,109.99,True-987,True-987,shopify-987,15-987,deny-987,manual-987,0.05-987,kg-987,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-987,1-987,Smart fitness tracker-987
